observation_date,PRINTO01EZQ661N
2015-01-01,99.6916923589701
2015-04-01,100.6582784767940
2015-07-01,97.3585534538789
2015-10-01,102.2914757103580
2016-01-01,101.8248479293390
2016-04-01,101.4582118156820
2016-07-01,98.1584867927673
2016-10-01,105.0579118406800
2017-01-01,102.7581034913760
2017-04-01,103.5913673860510
2017-07-01,101.7581868177650
2017-10-01,109.9575035413720
2018-01-01,105.6911924006330
2018-04-01,105.8578451795680
2018-07-01,102.2248145987830
2018-10-01,107.6243646362800
2019-01-01,105.8578451795680
2019-04-01,104.9912507291060
2019-07-01,101.2582284809600
2019-10-01,106.3244729605870
2020-01-01,100.1916506957750
2020-04-01,84.5262894758770
2020-07-01,95.3587201066578
2020-10-01,106.1578201816520
2021-01-01,105.2245646196150
2021-04-01,104.5246229480880
2021-07-01,101.0249145904510
2021-10-01,106.3911340721610
2022-01-01,104.9912507291060
2022-04-01,104.9579201733190
2022-07-01,102.7247729355890
2022-10-01,108.0909924172990
