observation_date,IPB50001N
2015-01-01,102.3460
2015-02-01,101.9134
2015-03-01,101.8934
2015-04-01,99.6220
2015-05-01,99.8540
2015-06-01,102.2875
2015-07-01,101.0565
2015-08-01,103.3122
2015-09-01,101.0527
2015-10-01,100.0854
2015-11-01,98.7737
2015-12-01,98.1496
2016-01-01,99.0133
2016-02-01,98.4912
2016-03-01,97.6373
2016-04-01,97.1722
2016-05-01,97.1217
2016-06-01,100.4575
2016-07-01,98.7039
2016-08-01,100.9294
2016-09-01,99.4425
2016-10-01,98.8386
2016-11-01,97.7327
2016-12-01,98.8012
2017-01-01,98.6971
2017-02-01,98.2214
2017-03-01,99.3166
2017-04-01,97.6440
2017-05-01,98.8779
2017-06-01,101.8699
2017-07-01,100.2094
2017-08-01,101.6566
2017-09-01,100.2011
2017-10-01,100.9163
2017-11-01,100.7419
2017-12-01,101.6478
2018-01-01,101.6366
2018-02-01,101.7058
2018-03-01,102.4967
2018-04-01,101.8155
2018-05-01,101.2595
2018-06-01,104.6177
2018-07-01,103.3969
2018-08-01,106.0877
2018-09-01,104.5406
2018-10-01,103.4573
2018-11-01,103.2191
2018-12-01,103.6456
2019-01-01,103.1460
2019-02-01,102.7272
2019-03-01,103.1139
2019-04-01,100.6069
2019-05-01,101.1774
2019-06-01,103.9516
2019-07-01,102.0047
2019-08-01,104.9158
2019-09-01,102.9184
2019-10-01,101.3340
2019-11-01,101.5299
2019-12-01,101.7565
2020-01-01,101.2492
2020-02-01,101.9971
2020-03-01,97.9614
2020-04-01,82.6767
2020-05-01,84.9798
2020-06-01,92.9937
2020-07-01,95.0939
2020-08-01,98.2239
2020-09-01,95.7030
2020-10-01,96.4557
2020-11-01,96.2847
2020-12-01,97.8694
2021-01-01,98.9665
2021-02-01,95.8886
2021-03-01,98.7020
2021-04-01,96.9615
2021-05-01,98.1503
2021-06-01,100.8020
2021-07-01,100.1131
2021-08-01,101.8919
2021-09-01,98.7500
2021-10-01,100.1228
2021-11-01,100.6087
2021-12-01,100.6437
2022-01-01,101.5271
2022-02-01,102.0634
2022-03-01,103.2771
2022-04-01,100.8862
2022-05-01,101.9909
2022-06-01,103.9262
2022-07-01,103.3444
2022-08-01,104.8612
2022-09-01,103.4627
2022-10-01,103.0849
2022-11-01,102.4696
2022-12-01,101.6607
2023-01-01,102.7552
2023-02-01,102.9141
2023-03-01,103.3750
2023-04-01,101.8040
2023-05-01,101.9090
2023-06-01,103.5035
2023-07-01,103.3639
2023-08-01,105.1458
2023-09-01,103.2998
2023-10-01,102.1654
2023-11-01,102.0599
2023-12-01,102.2236
2024-01-01,101.7062
2024-02-01,102.7477
2024-03-01,102.7146
2024-04-01,101.4174
2024-05-01,101.8856
2024-06-01,104.4554
2024-07-01,103.0190
2024-08-01,105.0731
2024-09-01,102.7617
2024-10-01,101.7523
2024-11-01,101.0591
2024-12-01,102.5835
