date,var%_12_months_inflation_value
2015-01-01,3.07
2015-02-01,2.77
2015-03-01,3.02
2015-04-01,3.02
2015-05-01,3.37
2015-06-01,3.54
2015-07-01,3.56
2015-08-01,4.04
2015-09-01,3.90
2015-10-01,3.66
2015-11-01,4.17
2015-12-01,4.40
2016-01-01,4.61
2016-02-01,4.47
2016-03-01,4.30
2016-04-01,3.91
2016-05-01,3.54
2016-06-01,3.34
2016-07-01,2.96
2016-08-01,2.94
2016-09-01,3.13
2016-10-01,3.41
2016-11-01,3.35
2016-12-01,3.23
2017-01-01,3.10
2017-02-01,3.25
2017-03-01,3.97
2017-04-01,3.69
2017-05-01,3.04
2017-06-01,2.73
2017-07-01,2.85
2017-08-01,3.17
2017-09-01,2.94
2017-10-01,2.04
2017-11-01,1.54
2017-12-01,1.36
2018-01-01,1.25
2018-02-01,1.18
2018-03-01,0.36
2018-04-01,0.48
2018-05-01,0.93
2018-06-01,1.43
2018-07-01,1.62
2018-08-01,1.07
2018-09-01,1.28
2018-10-01,1.84
2018-11-01,2.17
2018-12-01,2.19
2019-01-01,2.13
2019-02-01,2.00
2019-03-01,2.25
2019-04-01,2.59
2019-05-01,2.73
2019-06-01,2.29
2019-07-01,2.11
2019-08-01,2.04
2019-09-01,1.85
2019-10-01,1.88
2019-11-01,1.87
2019-12-01,1.90
2020-01-01,1.89
2020-02-01,1.90
2020-03-01,1.82
2020-04-01,1.72
2020-05-01,1.78
2020-06-01,1.60
2020-07-01,1.86
2020-08-01,1.69
2020-09-01,1.82
2020-10-01,1.72
2020-11-01,2.14
2020-12-01,1.97
2021-01-01,2.68
2021-02-01,2.40
2021-03-01,2.60
2021-04-01,2.38
2021-05-01,2.45
2021-06-01,3.25
2021-07-01,3.81
2021-08-01,4.95
2021-09-01,5.23
2021-10-01,5.83
2021-11-01,5.66
2021-12-01,6.43
2022-01-01,5.68
2022-02-01,6.15
2022-03-01,6.82
2022-04-01,7.96
2022-05-01,8.09
2022-06-01,8.81
2022-07-01,8.74
2022-08-01,8.40
2022-09-01,8.53
2022-10-01,8.28
2022-11-01,8.45
2022-12-01,8.46
2023-01-01,8.66
2023-02-01,8.65
2023-03-01,8.40
2023-04-01,7.97
2023-05-01,7.89
2023-06-01,6.46
2023-07-01,5.88
2023-08-01,5.58
2023-09-01,5.04
2023-10-01,4.34
2023-11-01,3.64
2023-12-01,3.24
2024-01-01,3.02
2024-02-01,3.29
2024-03-01,3.05
2024-04-01,2.42
2024-05-01,2.00
2024-06-01,2.29
2024-07-01,2.13
2024-08-01,2.03
2024-09-01,1.78
2024-10-01,2.01
2024-11-01,2.27
2024-12-01,1.97
