observation_date,IR3TIB01EZM156N
2015-01-01,0.06266666666666670
2015-02-01,0.04820000000000000
2015-03-01,0.02718181818181820
2015-04-01,0.00470000000000000
2015-05-01,-0.01036842105263160
2015-06-01,-0.01390909090909090
2015-07-01,-0.01873913043478260
2015-08-01,-0.02766666666666670
2015-09-01,-0.03704545454545460
2015-10-01,-0.05359090909090910
2015-11-01,-0.08761904761904760
2015-12-01,-0.12631818181818200
2016-01-01,-0.14615000000000000
2016-02-01,-0.18357142857142900
2016-03-01,-0.22852380952380999
2016-04-01,-0.24919047619047599
2016-05-01,-0.25718181818181790
2016-06-01,-0.26790909090909099
2016-07-01,-0.29452380952380891
2016-08-01,-0.29821739130434799
2016-09-01,-0.30163636363636398
2016-10-01,-0.30900000000000000
2016-11-01,-0.31268181818181801
2016-12-01,-0.31576190476190502
2017-01-01,-0.32554545454545503
2017-02-01,-0.32860000000000000
2017-03-01,-0.32934782608695690
2017-04-01,-0.33038888888888901
2017-05-01,-0.32945454545454500
2017-06-01,-0.33000000000000002
2017-07-01,-0.33042857142857102
2017-08-01,-0.32908695652173903
2017-09-01,-0.32938095238095200
2017-10-01,-0.32954545454545497
2017-11-01,-0.32899999999999990
2017-12-01,-0.32789473684210491
2018-01-01,-0.32845454545454600
2018-02-01,-0.32850000000000001
2018-03-01,-0.32790476190476198
2018-04-01,-0.32845000000000002
2018-05-01,-0.32522727272727298
2018-06-01,-0.32204761904761892
2018-07-01,-0.32072727272727292
2018-08-01,-0.31900000000000001
2018-09-01,-0.31885000000000002
2018-10-01,-0.31769565217391299
2018-11-01,-0.31636363636363601
2018-12-01,-0.31189473684210500
2019-01-01,-0.30800000000000000
2019-02-01,-0.30845000000000000
2019-03-01,-0.30919047619047602
2019-04-01,-0.31045000000000000
2019-05-01,-0.31186363636363601
2019-06-01,-0.32890000000000003
2019-07-01,-0.36486956521739089
2019-08-01,-0.40768181818181798
2019-09-01,-0.41757142857142898
2019-10-01,-0.41286956521739088
2019-11-01,-0.40128571428571391
2019-12-01,-0.39470000000000000
2020-01-01,-0.39113636363636400
2020-02-01,-0.40884999999999999
2020-03-01,-0.41663636363636403
2020-04-01,-0.25405000000000000
2020-05-01,-0.27195000000000003
2020-06-01,-0.37600000000000000
2020-07-01,-0.44413043478260900
2020-08-01,-0.47971428571428598
2020-09-01,-0.49136363636363589
2020-10-01,-0.50913636363636405
2020-11-01,-0.52085714285714291
2020-12-01,-0.53809090909090895
2021-01-01,-0.54715000000000003
2021-02-01,-0.54110000000000003
2021-03-01,-0.53908695652173899
2021-04-01,-0.53815000000000002
2021-05-01,-0.54009523809523796
2021-06-01,-0.54290909090909101
2021-07-01,-0.54481818181818198
2021-08-01,-0.54759090909090902
2021-09-01,-0.54504545454545406
2021-10-01,-0.54980952380952397
2021-11-01,-0.56736363636363596
2021-12-01,-0.58195652173913004
2022-01-01,-0.56014285714285705
2022-02-01,-0.53150000004999998
2022-03-01,-0.49543478260869600
2022-04-01,-0.44789473684210501
2022-05-01,-0.38572727272727297
2022-06-01,-0.23922727272727290
2022-07-01,0.03661904761904760
2022-08-01,0.39473913043478293
2022-09-01,1.01086363636364007
2022-10-01,1.42766666666666953
2022-11-01,1.82522727272727003
2022-12-01,2.06347619047619002
2023-01-01,2.34486363636364015
2023-02-01,2.64035000000000020
2023-03-01,2.91056521739131036
2023-04-01,3.16699999999999982
2023-05-01,3.36643478260870044
2023-06-01,3.53586363636364043
2023-07-01,3.67180952380951986
2023-08-01,3.78030434782608982
2023-09-01,3.88004761904762008
2023-10-01,3.96763636363635941
2023-11-01,3.97163636363635941
2023-12-01,3.93309523809524020
2024-01-01,3.92527272727272969
2024-02-01,3.92319047619047989
2024-03-01,3.92238095238095053
2024-04-01,3.88636363636363980
2024-05-01,3.81365217391303979
2024-06-01,3.72449999999999992
2024-07-01,3.68482608695651992
2024-08-01,3.54759090909091013
2024-09-01,3.43371428571427995
2024-10-01,3.16660869565217018
2024-11-01,3.00676190476189964
2024-12-01,2.81609090909091009
