observation_date,IR3TIB01ZAM156N
2015-01-01,6.0076190476190483
2015-02-01,5.8842857142857135
2015-03-01,5.7961538461538469
2015-04-01,5.7942857142857136
2015-05-01,5.7230434782608715
2015-06-01,5.7628000000000004
2015-07-01,6.0346153846153845
2015-08-01,6.1632000000000016
2015-09-01,6.2387500000000005
2015-10-01,6.1542307692307698
2015-11-01,6.3311999999999999
2015-12-01,6.7362500000000010
2016-01-01,6.8592307692307690
2016-02-01,6.9316000000000004
2016-03-01,7.0408333333333326
2016-04-01,7.1783999999999999
2016-05-01,7.1579999999999995
2016-06-01,7.1956000000000016
2016-07-01,7.3507692307692301
2016-08-01,7.2964000000000002
2016-09-01,7.2923076923076913
2016-10-01,7.3465384615384606
2016-11-01,7.4776923076923074
2016-12-01,7.6095833333333314
2017-01-01,7.4632000000000014
2017-02-01,7.2641666666666671
2017-03-01,7.2299999999999986
2017-04-01,7.4118181818181821
2017-05-01,7.4338461538461518
2017-06-01,7.3422727272727268
2017-07-01,7.3263636363636371
2017-08-01,7.1730434782608690
2017-09-01,7.0972727272727276
2017-10-01,7.2545833333333345
2017-11-01,7.4500000000000002
2017-12-01,7.5357894736842095
2018-01-01,7.3209090909090913
2018-02-01,7.1184999999999992
2018-03-01,7.0625000000000000
2018-04-01,6.9789473684210535
2018-05-01,7.0059090909090909
2018-06-01,7.0342857142857138
2018-07-01,7.0681818181818175
2018-08-01,7.1236363636363649
2018-09-01,7.1442105263157902
2018-10-01,7.1939130434782621
2018-11-01,7.3204347826086931
2018-12-01,7.4938888888888897
2019-01-01,7.5099999999999980
2019-02-01,7.2500000000000000
2019-03-01,7.0429999999999984
2019-04-01,7.1035000000000004
2019-05-01,7.1728571428571435
2019-06-01,7.1063157894736850
2019-07-01,7.0352173913043483
2019-08-01,6.9938095238095235
2019-09-01,6.8574999999999999
2019-10-01,6.8117391304347850
2019-11-01,7.0004761904761885
2019-12-01,7.1266666666666678
2020-01-01,6.8580769230769230
2020-02-01,6.3339999999999996
2020-03-01,6.0904000000000016
2020-04-01,5.0982608695652161
2020-05-01,4.1580000000000004
2020-06-01,4.1012000000000004
2020-07-01,3.9459259259259256
2020-08-01,3.6924000000000010
2020-09-01,3.4464000000000001
2020-10-01,3.4707407407407405
2020-11-01,3.5916000000000001
2020-12-01,3.7604166666666665
2021-01-01,3.8108000000000000
2021-02-01,3.7700000000000000
2021-03-01,3.8156000000000008
2021-04-01,3.7747368421052641
2021-05-01,3.6052380952380951
2021-06-01,3.7576190476190479
2021-07-01,3.8736363636363649
2021-08-01,3.7252380952380961
2021-09-01,3.8361904761904775
2021-10-01,3.7566666666666673
2021-11-01,3.8090476190476186
2021-12-01,3.8709523809523807
2022-01-01,3.8695238095238103
2022-02-01,2.9769999999999990
2022-03-01,4.2218181818181835
2022-04-01,4.3016666666666676
2022-05-01,4.4580952380952388
2022-06-01,5.1252380952380951
2022-07-01,5.3861904761904764
2022-08-01,5.7377272727272723
2022-09-01,5.7777272727272724
2022-10-01,6.1220000000000026
2022-11-01,6.1827272727272726
2022-12-01,6.6052631578947372
2023-01-01,6.4680952380952395
2023-02-01,6.5815000000000001
2023-03-01,7.0922727272727286
2023-04-01,7.7188235294117629
2023-05-01,8.0431818181818215
2023-06-01,8.4857142857142822
2023-07-01,8.5676190476190452
2023-08-01,8.4372727272727293
2023-09-01,8.3245000000000022
2023-10-01,8.5518181818181791
2023-11-01,8.5136363636363654
2023-12-01,8.4472222222222229
2024-01-01,8.4768181818181816
2024-02-01,8.4599999999999991
2024-03-01,8.4457894736842096
2024-04-01,8.4314285714285724
2024-05-01,8.5300000000000029
2024-06-01,8.5299999999999994
2024-07-01,8.4499999999999993
2024-08-01,8.2300000000000004
2024-09-01,8.0999999999999996
2024-10-01,8.0000000000000000
2024-11-01,7.9199999999999999
2024-12-01,7.7999999999999998
