date,M1
2015-01-31,6031110.33
2015-02-28,6061480.69
2015-03-31,6119643.32
2015-04-30,6203808.63
2015-05-31,6302867.55
2015-06-30,6361567.78
2015-07-31,6408579.24
2015-08-31,6416267.92
2015-09-30,6438391.3
2015-10-31,6525535.07
2015-11-30,6592452.2
2015-12-31,6631820.58
2016-01-31,6666032.79
2016-02-29,6688444.44
2016-03-31,6721636.05
2016-04-30,6815412.02
2016-05-31,6867587.85
2016-06-30,6901554.76
2016-07-31,6967678.37
2016-08-31,6961950.58
2016-09-30,6984640.39
2016-10-31,7043699.07
2016-11-30,7145988.48
2016-12-31,7194126.6
2017-01-31,7183654.08
2017-02-28,7218433.89
2017-03-31,7309106.93
2017-04-30,7406433.16
2017-05-31,7436957.3
2017-06-30,7517403.36
2017-07-31,7545740.61
2017-08-31,7576009.8
2017-09-30,7621237.4
2017-10-31,7650047.6
2017-11-30,7726218.07
2017-12-31,7791976.53
2018-01-31,7772380.39
2018-02-28,7782189.41
2018-03-31,7844795.66
2018-04-30,7899311.98
2018-05-31,8005429.83
2018-06-30,8095431.32
2018-07-31,8090029.51
2018-08-31,8091563.37
2018-09-30,8160747.85
2018-10-31,8168047.37
2018-11-30,8263363.19
2018-12-31,8310010.17
2019-01-31,8275706.87
2019-02-28,8316436.89
2019-03-31,8453091.81
2019-04-30,8500370.37
2019-05-31,8584201.07
2019-06-30,8682411.47
2019-07-31,8710329.22
2019-08-31,8798091.44
2019-09-30,8800401.97
2019-10-31,8857560.32
2019-11-30,8979720.83
2019-12-31,8984044.1
2020-01-31,8941355.04
2020-02-29,9021600.63
2020-03-31,9321168.45
2020-04-30,9503070.67
2020-05-31,9689451.03
2020-06-30,9780141.82
2020-07-31,9826086.36
2020-08-31,9870474.95
2020-09-30,9929190.8
2020-10-31,10041531.27
2020-11-30,10184516.28
2020-12-31,10309041.7
2021-01-31,10353262.06
2021-02-28,10433410.07
2021-03-31,10512440.17
2021-04-30,10590422.71
2021-05-31,10707561.88
2021-06-30,10840661.78
2021-07-31,10960849.21
2021-08-31,11013378.14
2021-09-30,11076521.22
2021-10-31,11143596.09
2021-11-30,11224499.17
2021-12-31,11343261.4
2022-01-31,11312440.54
2022-02-28,11387742.74
2022-03-31,11477092.97
2022-04-30,11557759.37
2022-05-31,11619474.5
2022-06-30,11686909.47
2022-07-31,11769372.37
2022-08-31,11782870.78
2022-09-30,11688243.46
2022-10-31,11512093.96
2022-11-30,11466504.19
2022-12-31,11388083.2
2023-01-31,11199143.4
2023-02-28,11066246.14
2023-03-31,10955259.58
2023-04-30,10900268.12
2023-05-31,10813359.94
2023-06-30,10747868.25
2023-07-31,10653615.68
2023-08-31,10553775.92
2023-09-30,10547248.88
2023-10-31,10376115.77
2023-11-30,10388100.33
2023-12-31,10446562.12
2024-01-31,10211015.19
2024-02-29,10180503.55
2024-03-31,10238334.71
2024-04-30,10221515.71
2024-05-31,10250839.38
2024-06-30,10396481.77
2024-07-31,10312711.1
2024-08-31,10379053.32
2024-09-30,10403873.62
2024-10-31,10398433.88
2024-11-30,10593731.24
2024-12-31,10661369.48
