date,rate
2015-01-01,0.03
2015-02-01,0.02
2015-03-01,0.03
2015-04-01,0.02
2015-05-01,0.02
2015-06-01,0.02
2015-07-01,0.03
2015-08-01,0.07
2015-09-01,0.02
2015-10-01,0.02
2015-11-01,0.12
2015-12-01,0.23
2016-01-01,0.26
2016-02-01,0.31
2016-03-01,0.29
2016-04-01,0.23
2016-05-01,0.27
2016-06-01,0.27
2016-07-01,0.3
2016-08-01,0.3
2016-09-01,0.29
2016-10-01,0.33
2016-11-01,0.45
2016-12-01,0.51
2017-01-01,0.51
2017-02-01,0.52
2017-03-01,0.74
2017-04-01,0.8
2017-05-01,0.89
2017-06-01,0.98
2017-07-01,1.07
2017-08-01,1.01
2017-09-01,1.03
2017-10-01,1.07
2017-11-01,1.23
2017-12-01,1.32
2018-01-01,1.41
2018-02-01,1.57
2018-03-01,1.7
2018-04-01,1.76
2018-05-01,1.86
2018-06-01,1.9
2018-07-01,1.96
2018-08-01,2.03
2018-09-01,2.13
2018-10-01,2.25
2018-11-01,2.33
2018-12-01,2.37
2019-01-01,2.37
2019-02-01,2.39
2019-03-01,2.4
2019-04-01,2.38
2019-05-01,2.35
2019-06-01,2.17
2019-07-01,2.1
2019-08-01,1.95
2019-09-01,1.89
2019-10-01,1.65
2019-11-01,1.54
2019-12-01,1.54
2020-01-01,1.52
2020-02-01,1.52
2020-03-01,0.29
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.1
2020-09-01,0.11
2020-10-01,0.1
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
2021-06-01,0.04
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.06
2022-01-01,0.15
2022-02-01,0.33
2022-03-01,0.44
2022-04-01,0.76
2022-05-01,0.98
2022-06-01,1.49
2022-07-01,2.23
2022-08-01,2.63
2022-09-01,3.13
2022-10-01,3.72
2022-11-01,4.15
2022-12-01,4.25
2023-01-01,4.54
2023-02-01,4.65
2023-03-01,4.69
2023-04-01,4.92
2023-05-01,5.14
2023-06-01,5.16
2023-07-01,5.25
2023-08-01,5.3
2023-09-01,5.32
2023-10-01,5.34
2023-11-01,5.27
2023-12-01,5.24
2024-01-01,5.22
2024-02-01,5.24
2024-03-01,5.24
2024-04-01,5.24
2024-05-01,5.25
2024-06-01,5.24
2024-07-01,5.2
2024-08-01,5.05
2024-09-01,4.72
2024-10-01,4.51
2024-11-01,4.42
2024-12-01,4.27
